Event	Site	Reference (SST proxy reference)	URL ref (SST proxy reference)	Reference (d18O reference)	URL ref (d18O reference)	Season (A annual S summer (months JFM))	Proxy (A alkenone UK'37 D diatom as...)	Latitude	Longitude	SST [°C] (Reconstructed)	Age [ka BP] (Chronology follows Lisiecki a...)	SST anomaly [°C] (Anomaly relative to the World...)
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	0	2.7054022
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	2	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	4	2.5586121
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	6	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	8	2.8400495
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	10	2.2667146
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	12	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	14	0.7203513
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	16	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	18	0.2578653
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	20	-0.2430974
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	22	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	24	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	26	0.6891318
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	28	-0.4500604
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	30	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	32	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	34	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	36	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	38	0.8351132
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	40	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	42	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	44	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	46	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	48	0.5236589
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	50	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	52	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	54	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	56	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	58	2.7820972
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	60	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	62	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	64	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	66	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	68	2.2149318
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	70	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	72	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	74	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	76	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	78	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	80	2.5549490
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	82	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	84	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	86	3.7252960
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	88	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	90	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	92	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	94	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	96	2.9529871
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	98	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	100	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	102	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	104	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	106	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	108	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	110	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	112	2.7246119
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	114	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	116	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	118	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	120	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	122	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	124	2.7299452
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	126	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	128	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	130	4.0357571
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	132	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	134	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	136	0.4576226
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	138	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	140	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	142	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	144	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	146	-3.1106746
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	148	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	150	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	152	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	154	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	156	1.3623308
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	158	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	160	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	162	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	164	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	166	1.2730151
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	168	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	170	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	172	0.9596017
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	174	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	176	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	178	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	180	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	182	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	184	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	186	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	188	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	190	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	192	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	194	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	196	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	198	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	200	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	202	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	204	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	206	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	208	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	210	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	0	2.7176483
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	2	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	4	2.5321574
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	6	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	8	2.9797468
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	10	2.1787229
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	12	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	14	0.6354273
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	16	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	18	-0.0152992
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	20	-0.5262520
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	22	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	24	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	26	0.3159228
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	28	-0.7749109
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	30	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	32	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	34	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	36	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	38	0.9617184
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	40	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	42	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	44	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	46	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	48	0.0959733
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	50	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	52	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	54	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	56	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	58	2.9648465
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	60	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	62	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	64	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	66	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	68	2.1048482
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	70	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	72	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	74	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	76	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	S	F	-41.5833	-171.5000	17.4022424	78	
